Month,NonRecreationVisitors,RecreationVisitors,UnitCode,UnitName,Year
8,30133,617184,ROMO,Rocky Mountain NP,1988
9,18607,371318,ROMO,Rocky Mountain NP,1988
10,9106,178657,ROMO,Rocky Mountain NP,1988
11,7029,55402,ROMO,Rocky Mountain NP,1988
12,7950,36948,ROMO,Rocky Mountain NP,1988
1,9784,60075,ROMO,Rocky Mountain NP,1989
2,9001,52050,ROMO,Rocky Mountain NP,1989
3,5582,60381,ROMO,Rocky Mountain NP,1989
4,2510,52044,ROMO,Rocky Mountain NP,1989
5,7934,92436,ROMO,Rocky Mountain NP,1989
6,18451,370174,ROMO,Rocky Mountain NP,1989
7,24557,590130,ROMO,Rocky Mountain NP,1989
8,21097,600617,ROMO,Rocky Mountain NP,1989
9,14738,358910,ROMO,Rocky Mountain NP,1989
10,9143,183199,ROMO,Rocky Mountain NP,1989
11,5102,54061,ROMO,Rocky Mountain NP,1989
12,5848,28838,ROMO,Rocky Mountain NP,1989
1,10956,53565,ROMO,Rocky Mountain NP,1990
2,9343,49896,ROMO,Rocky Mountain NP,1990
3,7247,65280,ROMO,Rocky Mountain NP,1990
4,4681,60274,ROMO,Rocky Mountain NP,1990
5,11465,108881,ROMO,Rocky Mountain NP,1990
6,17173,435279,ROMO,Rocky Mountain NP,1990
7,28031,560806,ROMO,Rocky Mountain NP,1990
8,30676,646018,ROMO,Rocky Mountain NP,1990
9,13162,392873,ROMO,Rocky Mountain NP,1990
10,9608,164130,ROMO,Rocky Mountain NP,1990
11,5749,73064,ROMO,Rocky Mountain NP,1990
12,5845,37257,ROMO,Rocky Mountain NP,1990
1,8071,50910,ROMO,Rocky Mountain NP,1991
2,6467,57547,ROMO,Rocky Mountain NP,1991
3,8492,56241,ROMO,Rocky Mountain NP,1991
4,6231,67986,ROMO,Rocky Mountain NP,1991
5,13124,118351,ROMO,Rocky Mountain NP,1991
6,18645,434810,ROMO,Rocky Mountain NP,1991
7,28663,614118,ROMO,Rocky Mountain NP,1991
8,25541,642734,ROMO,Rocky Mountain NP,1991
9,19042,385524,ROMO,Rocky Mountain NP,1991
10,9185,237608,ROMO,Rocky Mountain NP,1991
11,2815,43136,ROMO,Rocky Mountain NP,1991
12,5754,42816,ROMO,Rocky Mountain NP,1991
1,9398,60038,ROMO,Rocky Mountain NP,1992
2,9674,48476,ROMO,Rocky Mountain NP,1992
3,6444,58478,ROMO,Rocky Mountain NP,1992
4,4797,80217,ROMO,Rocky Mountain NP,1992
5,11308,160788,ROMO,Rocky Mountain NP,1992
6,15198,408630,ROMO,Rocky Mountain NP,1992
7,28690,606764,ROMO,Rocky Mountain NP,1992
8,24688,623634,ROMO,Rocky Mountain NP,1992
9,20790,440843,ROMO,Rocky Mountain NP,1992
10,12764,218570,ROMO,Rocky Mountain NP,1992
11,4346,47490,ROMO,Rocky Mountain NP,1992
12,5778,34940,ROMO,Rocky Mountain NP,1992
1,9015,53780,ROMO,Rocky Mountain NP,1993
2,8490,39962,ROMO,Rocky Mountain NP,1993
3,7375,52511,ROMO,Rocky Mountain NP,1993
4,5256,65790,ROMO,Rocky Mountain NP,1993
5,7498,120708,ROMO,Rocky Mountain NP,1993
6,20483,424670,ROMO,Rocky Mountain NP,1993
7,31510,623451,ROMO,Rocky Mountain NP,1993
8,36845,654327,ROMO,Rocky Mountain NP,1993
9,22219,423570,ROMO,Rocky Mountain NP,1993
10,11741,230972,ROMO,Rocky Mountain NP,1993
11,4239,48776,ROMO,Rocky Mountain NP,1993
12,5854,41825,ROMO,Rocky Mountain NP,1993
