Month,NonRecreationVisitors,RecreationVisitors,UnitCode,UnitName,Year
3,6444418,15572832,Parkwide,All NPS Park Units,1987
4,6817744,21353326,Parkwide,All NPS Park Units,1987
5,7470324,29277153,Parkwide,All NPS Park Units,1987
6,7555470,34140676,Parkwide,All NPS Park Units,1987
7,8505040,42754236,Parkwide,All NPS Park Units,1987
8,8492110,41718894,Parkwide,All NPS Park Units,1987
9,7464661,27923913,Parkwide,All NPS Park Units,1987
10,7216499,26376374,Parkwide,All NPS Park Units,1987
11,6859645,15660309,Parkwide,All NPS Park Units,1987
12,6942454,11982821,Parkwide,All NPS Park Units,1987
1,5657872,10046540,Parkwide,All NPS Park Units,1988
2,6180831,11392218,Parkwide,All NPS Park Units,1988
3,6451579,16720754,Parkwide,All NPS Park Units,1988
4,7225706,22186247,Parkwide,All NPS Park Units,1988
5,7539903,27824017,Parkwide,All NPS Park Units,1988
6,7707709,35775605,Parkwide,All NPS Park Units,1988
7,8118174,42526490,Parkwide,All NPS Park Units,1988
8,8102113,38438887,Parkwide,All NPS Park Units,1988
9,7325876,27230485,Parkwide,All NPS Park Units,1988
10,7400043,24119520,Parkwide,All NPS Park Units,1988
11,6701030,15082951,Parkwide,All NPS Park Units,1988
12,7127504,11107727,Parkwide,All NPS Park Units,1988
1,5909951,11174094,Parkwide,All NPS Park Units,1989
2,5488509,10810119,Parkwide,All NPS Park Units,1989
3,6554690,16082754,Parkwide,All NPS Park Units,1989
4,6688877,20375717,Parkwide,All NPS Park Units,1989
5,7470304,25468824,Parkwide,All NPS Park Units,1989
6,7607378,32700959,Parkwide,All NPS Park Units,1989
7,8247049,40665695,Parkwide,All NPS Park Units,1989
8,8286623,38029793,Parkwide,All NPS Park Units,1989
9,7210596,27036334,Parkwide,All NPS Park Units,1989
10,7247203,22682878,Parkwide,All NPS Park Units,1989
11,5873316,14510702,Parkwide,All NPS Park Units,1989
12,5926847,9861968,Parkwide,All NPS Park Units,1989
1,5445220,10285471,Parkwide,All NPS Park Units,1990
2,5412689,10706644,Parkwide,All NPS Park Units,1990
3,6225900,14991311,Parkwide,All NPS Park Units,1990
4,6629055,20071890,Parkwide,All NPS Park Units,1990
5,6836257,23897587,Parkwide,All NPS Park Units,1990
6,7411427,30963969,Parkwide,All NPS Park Units,1990
7,7945906,37859474,Parkwide,All NPS Park Units,1990
8,8186424,36234833,Parkwide,All NPS Park Units,1990
9,6875526,25295920,Parkwide,All NPS Park Units,1990
10,6899089,20525672,Parkwide,All NPS Park Units,1990
11,6259699,14399790,Parkwide,All NPS Park Units,1990
12,5454078,10348906,Parkwide,All NPS Park Units,1990
1,6040959,9955590,Parkwide,All NPS Park Units,1991
2,6623465,11226582,Parkwide,All NPS Park Units,1991
3,6781930,14788565,Parkwide,All NPS Park Units,1991
4,7072697,19291071,Parkwide,All NPS Park Units,1991
5,7717701,25202118,Parkwide,All NPS Park Units,1991
6,8086697,33188780,Parkwide,All NPS Park Units,1991
7,8703271,40879212,Parkwide,All NPS Park Units,1991
8,8822602,38654569,Parkwide,All NPS Park Units,1991
9,7368888,26790448,Parkwide,All NPS Park Units,1991
10,7339835,22546353,Parkwide,All NPS Park Units,1991
11,6673294,14143329,Parkwide,All NPS Park Units,1991
12,6796070,11174382,Parkwide,All NPS Park Units,1991
1,6209285,10940618,Parkwide,All NPS Park Units,1992
2,6010027,11931340,Parkwide,All NPS Park Units,1992
3,6756902,15369139,Parkwide,All NPS Park Units,1992
4,7255782,21458739,Parkwide,All NPS Park Units,1992
5,7690763,26648530,Parkwide,All NPS Park Units,1992
6,7593227,33284625,Parkwide,All NPS Park Units,1992
7,8438755,41099305,Parkwide,All NPS Park Units,1992
8,8056823,38625804,Parkwide,All NPS Park Units,1992
9,7329755,26438266,Parkwide,All NPS Park Units,1992
10,7105574,23616057,Parkwide,All NPS Park Units,1992
11,6507805,14338165,Parkwide,All NPS Park Units,1992
12,6702698,10943961,Parkwide,All NPS Park Units,1992
1,8628312,11202937,Parkwide,All NPS Park Units,1993
2,8208623,10677949,Parkwide,All NPS Park Units,1993
3,9078088,13911804,Parkwide,All NPS Park Units,1993
4,9868305,21170106,Parkwide,All NPS Park Units,1993
5,10256008,26917507,Parkwide,All NPS Park Units,1993
6,9950973,33097919,Parkwide,All NPS Park Units,1993
7,10410680,41772235,Parkwide,All NPS Park Units,1993
8,10921567,39143224,Parkwide,All NPS Park Units,1993
9,9801206,27099273,Parkwide,All NPS Park Units,1993
10,9611823,22935005,Parkwide,All NPS Park Units,1993
11,9065543,13990104,Parkwide,All NPS Park Units,1993
12,8785015,11202862,Parkwide,All NPS Park Units,1993
1,7840782,9362863,Parkwide,All NPS Park Units,1994
2,7725267,10434354,Parkwide,All NPS Park Units,1994
3,8560807,15767997,Parkwide,All NPS Park Units,1994
4,9574393,20698703,Parkwide,All NPS Park Units,1994
5,10167412,25378601,Parkwide,All NPS Park Units,1994
6,10977762,32364075,Parkwide,All NPS Park Units,1994
7,10993521,41092295,Parkwide,All NPS Park Units,1994
8,9800826,37782774,Parkwide,All NPS Park Units,1994
9,9874008,27016118,Parkwide,All NPS Park Units,1994
10,9764590,22875911,Parkwide,All NPS Park Units,1994
11,7675811,14402054,Parkwide,All NPS Park Units,1994
12,8564698,11460424,Parkwide,All NPS Park Units,1994
1,7691438,10485767,Parkwide,All NPS Park Units,1995
2,9954662,10862347,Parkwide,All NPS Park Units,1995
3,10321285,16357516,Parkwide,All NPS Park Units,1995
4,9629519,21602425,Parkwide,All NPS Park Units,1995
5,10119092,25238479,Parkwide,All NPS Park Units,1995
6,10540130,32563312,Parkwide,All NPS Park Units,1995
7,10706015,42025224,Parkwide,All NPS Park Units,1995
8,10639891,38297684,Parkwide,All NPS Park Units,1995
9,10172789,26893799,Parkwide,All NPS Park Units,1995
10,10388592,22949117,Parkwide,All NPS Park Units,1995
11,9131878,13684776,Parkwide,All NPS Park Units,1995
12,8944315,8603861,Parkwide,All NPS Park Units,1995
1,9321685,8702851,Parkwide,All NPS Park Units,1996
2,9625907,10977375,Parkwide,All NPS Park Units,1996
3,11069564,15495445,Parkwide,All NPS Park Units,1996
4,11161037,20763835,Parkwide,All NPS Park Units,1996
5,11792495,24187245,Parkwide,All NPS Park Units,1996
6,12037389,31856058,Parkwide,All NPS Park Units,1996
7,12288796,39929260,Parkwide,All NPS Park Units,1996
8,12518856,37931617,Parkwide,All NPS Park Units,1996
9,11311851,26707699,Parkwide,All NPS Park Units,1996
10,11592486,22919975,Parkwide,All NPS Park Units,1996
11,10032162,14557841,Parkwide,All NPS Park Units,1996
12,11278048,11766962,Parkwide,All NPS Park Units,1996
1,11141269,10471052,Parkwide,All NPS Park Units,1997
2,10018044,11552725,Parkwide,All NPS Park Units,1997
3,11515496,17152934,Parkwide,All NPS Park Units,1997
4,11728777,20173719,Parkwide,All NPS Park Units,1997
5,12152811,26410125,Parkwide,All NPS Park Units,1997
6,12472660,32012003,Parkwide,All NPS Park Units,1997
7,13691931,41143029,Parkwide,All NPS Park Units,1997
8,13213408,38425342,Parkwide,All NPS Park Units,1997
9,12060971,26703300,Parkwide,All NPS Park Units,1997
10,12339480,23742405,Parkwide,All NPS Park Units,1997
11,11175164,15101003,Parkwide,All NPS Park Units,1997
12,11415003,12348698,Parkwide,All NPS Park Units,1997
1,10209812,11322171,Parkwide,All NPS Park Units,1998
2,10779188,11736699,Parkwide,All NPS Park Units,1998
3,12134752,17239772,Parkwide,All NPS Park Units,1998
4,12382047,23265483,Parkwide,All NPS Park Units,1998
5,13162140,27760213,Parkwide,All NPS Park Units,1998
6,13300413,33123358,Parkwide,All NPS Park Units,1998
7,13917501,42112152,Parkwide,All NPS Park Units,1998
8,13174394,39056651,Parkwide,All NPS Park Units,1998
9,12704800,28248144,Parkwide,All NPS Park Units,1998
10,13074537,24652097,Parkwide,All NPS Park Units,1998
11,12056212,16130477,Parkwide,All NPS Park Units,1998
12,12002009,12115048,Parkwide,All NPS Park Units,1998
1,11250423,10791315,Parkwide,All NPS Park Units,1999
2,10680926,12526727,Parkwide,All NPS Park Units,1999
3,12121612,17326973,Parkwide,All NPS Park Units,1999
4,12356338,23327872,Parkwide,All NPS Park Units,1999
5,13089518,27994468,Parkwide,All NPS Park Units,1999
6,12832664,33496802,Parkwide,All NPS Park Units,1999
7,13677895,42072518,Parkwide,All NPS Park Units,1999
8,13044805,38013029,Parkwide,All NPS Park Units,1999
9,12413966,27748261,Parkwide,All NPS Park Units,1999
10,13097896,24341909,Parkwide,All NPS Park Units,1999
11,12557324,16852702,Parkwide,All NPS Park Units,1999
12,12041632,12638303,Parkwide,All NPS Park Units,1999
1,10300555,11097190,Parkwide,All NPS Park Units,2000
2,10693120,12732787,Parkwide,All NPS Park Units,2000
3,11970551,18500683,Parkwide,All NPS Park Units,2000
4,11833156,23189692,Parkwide,All NPS Park Units,2000
5,12774675,27644158,Parkwide,All NPS Park Units,2000
6,12568156,34368752,Parkwide,All NPS Park Units,2000
7,13105353,42321169,Parkwide,All NPS Park Units,2000
8,12749498,36118062,Parkwide,All NPS Park Units,2000
9,12142387,27162002,Parkwide,All NPS Park Units,2000
10,12535098,24609948,Parkwide,All NPS Park Units,2000
11,11586245,16211506,Parkwide,All NPS Park Units,2000
12,11703054,11935326,Parkwide,All NPS Park Units,2000
1,10818456,11850560,Parkwide,All NPS Park Units,2001
2,10335419,12394598,Parkwide,All NPS Park Units,2001
3,11728755,17825243,Parkwide,All NPS Park Units,2001
4,11902999,24004280,Parkwide,All NPS Park Units,2001
5,12382143,27731527,Parkwide,All NPS Park Units,2001
6,12770837,33720434,Parkwide,All NPS Park Units,2001
7,13509190,42018901,Parkwide,All NPS Park Units,2001
8,13117008,37165900,Parkwide,All NPS Park Units,2001
9,11946431,25276928,Parkwide,All NPS Park Units,2001
10,13285882,21307383,Parkwide,All NPS Park Units,2001
11,10872926,14946856,Parkwide,All NPS Park Units,2001
12,11758579,11631316,Parkwide,All NPS Park Units,2001
1,10722586,11421741,Parkwide,All NPS Park Units,2002
2,10641204,12841311,Parkwide,All NPS Park Units,2002
3,12045760,17711462,Parkwide,All NPS Park Units,2002
4,12215676,21593754,Parkwide,All NPS Park Units,2002
5,12658537,26308925,Parkwide,All NPS Park Units,2002
6,12672351,32713128,Parkwide,All NPS Park Units,2002
7,13180644,41331522,Parkwide,All NPS Park Units,2002
8,12797804,36579582,Parkwide,All NPS Park Units,2002
9,12037313,26255297,Parkwide,All NPS Park Units,2002
10,12579810,22517581,Parkwide,All NPS Park Units,2002
11,10876082,15866502,Parkwide,All NPS Park Units,2002
12,11551797,12159075,Parkwide,All NPS Park Units,2002
1,11162628,11407956,Parkwide,All NPS Park Units,2003
2,9803619,10773369,Parkwide,All NPS Park Units,2003
3,11984636,16122086,Parkwide,All NPS Park Units,2003
